is_run,dest_name,unit_identifier,unit_type,output_table,query_type,relative_output_path_file_name,block_type,comment
TRUE,definitions_met_agg_01.hql,NULL,NULL,quantum_metric_agg_portals,definitions,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/portals_selfservice_metric_agg.hql,sum_if_block,
TRUE,definitions_met_agg_02.hql,NULL,NULL,quantum_metric_agg_portals,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/portals_selfservice_metric_agg.hql,null_block,
TRUE,init_met_init_01.hql,NULL,NULL,NULL,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/init/portals_selfservice_create_tables_and_views.hql,init_block,
TRUE,init_met_init_02.hql,NULL,NULL,NULL,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/init/portals_selfservice_create_tables_and_views.hql,null_block,
TRUE,sets_set_agg_01.hql,device_id,devices,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,sum_block,
TRUE,sets_set_agg_02.hql,device_id,devices,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,call_sum_block,
TRUE,sets_set_agg_03.hql,device_id,devices,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,if_sum_block,
TRUE,sets_set_agg_04.hql,device_id,devices,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,call_if_sum_block,
TRUE,sets_set_agg_05.hql,device_id,devices,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,sum_as_block,
TRUE,sets_set_agg_06.hql,device_id,devices,quantum_set_agg_portals,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_devices.hql,null_block,
TRUE,sets_set_agg_01.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,sum_block,
TRUE,sets_set_agg_02.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,call_sum_block,
TRUE,sets_set_agg_03.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,if_sum_block,
TRUE,sets_set_agg_04.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,call_if_sum_block,
TRUE,sets_set_agg_05.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,sum_as_block,
TRUE,sets_set_agg_06.hql,portals_unique_acct_key,accounts,quantum_set_agg_portals,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_accounts.hql,null_block,
TRUE,sets_set_agg_instances_01.hql,label_date_denver AS unit_identifier,instances,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_instances.hql,sum_block,
TRUE,sets_set_agg_instances_02.hql,label_date_denver AS unit_identifier,instances,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_instances.hql,sum_as_block,
TRUE,sets_set_agg_instances_03.hql,label_date_denver,instances,quantum_set_agg_portals,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_instances.hql,null_block,
FALSE,set_agg_04,'${env:label_date_denver}',instances,quantum_set_agg_portals,sets,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_instances.hql,null_block,
TRUE,sets_set_agg_01.hql,visit_id,visits,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,sum_block,
TRUE,sets_set_agg_02.hql,visit_id,visits,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,call_sum_block,
TRUE,sets_set_agg_03.hql,visit_id,visits,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,if_sum_block,
TRUE,sets_set_agg_04.hql,visit_id,visits,quantum_set_agg_portals,no_comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,call_if_sum_block,
TRUE,sets_set_agg_05.hql,visit_id,visits,quantum_set_agg_portals,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,sum_as_block,
TRUE,sets_set_agg_06.hql,visit_id,visits,quantum_set_agg_portals,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_set_aggs/src/portals_selfservice_set_agg_visits.hql,null_block,
TRUE,enrich_met_01.hql,NULL,NULL,NULL,comma_end,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/portals_selfservice_metagg_call_enrich.hql,enrich_block,
TRUE,enrich_met_02.hql,NULL,NULL,NULL,NULL,../../../quantum-dasp-jobs/extract/parameterized/portals_selfservice_metric_agg/src/portals_selfservice_metagg_call_enrich.hql,null_block,
